Longitude,Latitude,East,North,Up,Name
174.93286,-41.19644,3.73,2.52,5.79,AVLN
175.13654,-41.34049,0.55,2.83,4.93,BTHL
175.14547,-41.14467,-2.48,4.31,-0.33,CLIM
174.2138,-41.74904,-235.01,10.47,-85.8,CMBL
173.92159,-40.80176,-3.23,5.14,0.67,DURV
172.52956,-40.82659,1.6,-1.9,-1.95,GLDB
174.00642,-41.29113,7.81,10.02,-6.35,GPIC
175.06652,-40.87903,0.68,4.54,-0.02,GWAI
174.8245,-41.17099,3.16,4.07,7.67,GWLG
175.51519,-40.89724,1.44,1.37,1.36,HOLD
173.53365,-42.42546,-0.12,0.2,2.88,KAIK
174.90976,-40.8609,-1.67,5.72,-2.86,KAPT
173.79382,-41.29139,4.77,0.07,-0.44,MAHA
175.58457,-41.06199,-1.07,1.87,-1.39,MAST
173.43373,-41.1835,7.73,-2.4,-2.81,NLSN
174.06028,-41.01926,2.03,4.4,-4.88,OKOH
175.17041,-40.81654,-1.54,4.04,0.29,OTAK
174.95208,-41.02176,0.12,5.41,1.76,PAEK
175.25478,-41.56923,-0.44,0.98,-1.1,PALI
175.42694,-41.38155,-0.57,1.62,4.76,PARW
175.40435,-41.18692,0.51,1.49,1.8,RDLV
175.89046,-41.10656,-1.12,1.59,-1.19,TEMA
174.28008,-41.19157,2.59,16.26,-4.38,TORY
175.6879,-41.398,-1.29,1.67,-0.76,TRAV
174.62764,-41.27805,2.85,10.18,-2.31,TRWH
174.80589,-41.32345,0.76,4.6,1.88,WGTN
174.78159,-41.29044,4.09,7.42,2.27,WGTT
173.9842,-41.56065,38.87,-9.07,-3.35,WITH
174.06084,-41.71386,253.64,22.7,-77.17,EJ0C
173.80225,-41.54276,37.82,-8.56,0.03,1190
173.80555,-41.74531,70.78,3.36,-8.4,BLBH
174.13671,-41.82259,-30.81,-74.27,-7.17,AC76
173.66709,-41.64451,38.05,-4.38,7.64,A3UJ
174.04942,-41.68978,223.77,-14.8,-51.07,A7R5
174.15292,-41.65379,78.84,227.14,134.04,A7R1
