Longitude,Latitude
176.330,-40.7145
176.268,-40.7971
176.254,-40.8466
176.210,-40.8928
176.241,-40.9093
176.147,-40.9588
176.125,-41.0150
176.107,-41.0150
176.094,-41.0645
176.063,-41.0876
176.058,-41.1305
175.987,-41.1636
175.965,-41.2230
175.952,-41.2395
175.876,-41.2593
175.858,-41.2824
175.854,-41.3088
175.805,-41.3518
175.760,-41.3584
175.702,-41.4079
175.662,-41.4112
175.578,-41.4772
175.538,-41.4772
175.440,-41.5367
175.404,-41.5565
175.359,-41.5598
175.315,-41.5664
175.257,-41.5961
175.230,-41.5961
175.204,-41.5631
175.186,-41.5367
175.172,-41.5267
175.199,-41.4838
175.186,-41.4673
175.204,-41.4409
175.168,-41.4145
175.123,-41.3980
175.088,-41.3815
175.026,-41.3716
174.985,-41.3848
174.936,-41.3947
174.892,-41.4244
174.861,-41.4046
174.830,-41.3782
174.830,-41.3385
174.852,-41.3088
174.888,-41.2725
174.883,-41.2362
174.847,-41.2197
174.807,-41.2395
174.772,-41.2659
174.758,-41.2857
174.794,-41.2890
174.794,-41.3088
174.758,-41.3385
174.678,-41.3451
174.647,-41.3319
174.607,-41.3022
174.580,-41.2857
174.598,-41.2494
174.638,-41.2296
174.638,-41.2263
174.674,-41.1966
174.705,-41.1735
174.745,-41.1437
174.776,-41.1239
174.798,-41.0942
174.843,-41.0744
174.821,-41.0546
174.914,-40.9919
174.936,-40.9423
174.945,-40.9192
174.941,-40.8829
175.003,-40.8400
175.048,-40.7971
175.088,-40.7310
175.110,-40.6683
175.137,-40.6155
175.172,-40.5626
175.177,-40.4900
